title,description,channel,method,video_id,url
"Customer churn prediction using ANN | Deep Learning Tutorial 18 (Tensorflow2.0, Keras &amp; Python)",In this video we will build a customer churn prediction model using artificial neural network or ANN. Customer churn measures how and why are customers leavi...,codebasics,Web Scraping,MSBY28IJ47U,https://youtu.be/MSBY28IJ47U
Types of RNN | Recurrent Neural Network Types | Deep Learning Tutorial 34 (Tensorflow &amp; Python),"In this video we will discuss different types of RNN types such as,1) One to many2) Many to many3) Many to one#typesofrnn #rnnindeeplearning #recurrentneural...",codebasics,Web Scraping,EzsXi4WzelI,https://youtu.be/EzsXi4WzelI
Word2Vec Part 2 | Implement word2vec in gensim |  | Deep Learning Tutorial 42 with Python,We will train word2vec model in python gensim library using amazon product reviews. There is an exercise as well at the end of this video.Code: https://githu...,codebasics,Web Scraping,Q2NtCcqmIww,https://youtu.be/Q2NtCcqmIww
Stochastic Gradient Descent vs Batch Gradient Descent vs Mini Batch Gradient Descent |DL Tutorial 14,"Stochastic gradient descent, batch gradient descent and mini batch gradient descent are three flavors of a gradient descent algorithm. In this video I will g...",codebasics,Web Scraping,IU5fuoYBTAM,https://youtu.be/IU5fuoYBTAM
Optimize Tensorflow Pipeline Performance: prefetch &amp; cache | Deep Learning Tutorial 45 (Tensorflow),It is important to make optimal use of your hardware resources (CPU and GPU) while training a deep learning model. You can  use tf.data.Dataset.prefetch(AUTO...,codebasics,Web Scraping,MLEKEplgCas,https://youtu.be/MLEKEplgCas
"Deep learning project end to end | Potato Disease Classification - 2 :Data collection, preprocessing","📺 End to end deep learning project for potato disease classification. In this session, we will cover,⭐️ Timestamps ⭐️00:00 Three ways of collecting data01:3...",codebasics,Web Scraping,bns5ELvbzVk,https://youtu.be/bns5ELvbzVk
Handling imbalanced dataset in machine learning | Deep Learning Tutorial 21 (Tensorflow2.0 &amp; Python),"Credit card fraud detection, cancer prediction, customer churn prediction are some of the examples where you might get an imbalanced dataset. Training a mode...",codebasics,Web Scraping,JnlM4yLFNuo,https://youtu.be/JnlM4yLFNuo
"Chain Rule | Deep Learning Tutorial 15 (Tensorflow2.0, Keras &amp; Python)",This video gives a very simple explanation of a chain rule that is used while training a neural network. Chain rule is something that is covered when you stu...,codebasics,Web Scraping,5ogmEkujoqE,https://youtu.be/5ogmEkujoqE
"Implement Neural Network In Python | Deep Learning Tutorial 13 (Tensorflow2.0, Keras &amp; Python)",In this video we will implement a simple neural network with single neuron from scratch in python. This is also an implementation of a logistic regression in...,codebasics,Web Scraping,PQCE9ChuIDY,https://youtu.be/PQCE9ChuIDY
Simple Explanation of GRU (Gated Recurrent Units) | Deep Learning Tutorial 37 (Tensorflow &amp; Python),"Simple Explanation of GRU (Gated Recurrent Units): Similar to LSTM, Gated recurrent unit addresses short term memory problem of traditional RNN. It was inven...",codebasics,Web Scraping,tOuXgORsXJ4,https://youtu.be/tOuXgORsXJ4
"Text Classification Using BERT &amp; Tensorflow | Deep Learning Tutorial 47 (Tensorflow, Keras &amp; Python)","Using BERT and Tensorflow 2.0, we will write simple code to classify emails as spam or not spam. BERT will be used to generate sentence encoding for all emai...",codebasics,Web Scraping,hOCDJyZ6quA,https://youtu.be/hOCDJyZ6quA
"Simple Explanation of LSTM | Deep Learning Tutorial 36 (Tensorflow, Keras &amp; Python)",LSTM or long short term memory is a special type of RNN that solves traditional RNN&#39;s short term memory problem. In this video I will give a very simple expl...,codebasics,Web Scraping,LfnrRPFhkuY,https://youtu.be/LfnrRPFhkuY
"Convolution padding and stride | Deep Learning Tutorial 25 (Tensorflow2.0, Keras &amp; Python)",In this video we will cover what is padding and stride in convolution operation. Padding allows corner pixels in image to participate well in feature detecti...,codebasics,Web Scraping,oDAPkZ53zKk,https://youtu.be/oDAPkZ53zKk
"Sliding Window Object Detection | Deep Learning Tutorial 30 (Tensorflow, Keras &amp; Python)",Sliding window object detection is a technique that allows you to detect objects in a picture. This technique is not very efficient as it is very compute int...,codebasics,Web Scraping,AimW3j7M2Uw,https://youtu.be/AimW3j7M2Uw
"Why deep learning is becoming so popular? | Deep Learning Tutorial 2 (Tensorflow2.0, Keras &amp; Python)","This video explains four reasons why deep learning has become so popular in past few years.In this deep learning tutorial python, I will cover following thin...",codebasics,Web Scraping,yfsTZbwgMSE,https://youtu.be/yfsTZbwgMSE
Deep learning project end to end | Potato Disease Classification Using CNN - 1 : Problem Statement,This is the first video in end to end deep learning project series in agriculture domain. Farmers every year face economic loss and crop waste due to various...,codebasics,Web Scraping,dGtDTjYs3xc,https://youtu.be/dGtDTjYs3xc
"Loss or Cost Function | Deep Learning Tutorial 11 (Tensorflow Tutorial, Keras &amp; Python)",Loss or a cost function is an important concept we need to understand if you want to grasp how a neural network trains itself. We will go over various loss f...,codebasics,Web Scraping,E1yyaLRUnLo,https://youtu.be/E1yyaLRUnLo
Deep learning project end to end | Potato Disease Classification - 3 : Model Building,We will train a convolutional neural network in tensorflow using potato plant images. The goal of this model would be to classify these images as either heal...,codebasics,Web Scraping,ZN6P_GEJ7lk,https://youtu.be/ZN6P_GEJ7lk
Distributed Training On NVIDIA DGX Station A100 | Deep Learning Tutorial 43 (Tensorflow &amp; Python),Using tensorflow mirrored strategy we will perform distributed training on NVIDIA DGX Station A100 System. Distributed training is used to split the training...,codebasics,Web Scraping,95OyAjIZAbs,https://youtu.be/95OyAjIZAbs
Image classification vs Object detection vs Image Segmentation | Deep Learning Tutorial 28,"Using a simple example I will explain the difference between image classification, object detection and image segmentation in this video. Do you want to lear...",codebasics,Web Scraping,taC5pMCm70U,https://youtu.be/taC5pMCm70U
"Introduction | Deep Learning Tutorial 1 (Tensorflow Tutorial, Keras &amp; Python)","With this video, I am beginning a new deep learning tutorial series for total beginners. In this deep learning tutorial python, I will cover following things...",codebasics,Web Scraping,Mubj_fqiAv8,https://youtu.be/Mubj_fqiAv8
"Data augmentation to address overfitting | Deep Learning Tutorial 26 (Tensorflow, Keras &amp; Python)","When we don&#39;t have enough training samples to cover diverse cases in image classification, often CNN might overfit. To address this we use a technique called...",codebasics,Web Scraping,mTVf7BN7S8w,https://youtu.be/mTVf7BN7S8w
"Transfer Learning | Deep Learning Tutorial 27 (Tensorflow, Keras &amp; Python)",📺 Transfer learning is a very important concept in the field of computer vision and natural language processing. Using transfer learning you can use pre tra...,codebasics,Web Scraping,LsdxvjLWkIY,https://youtu.be/LsdxvjLWkIY
Deep learning project end to end | Potato Disease Classification - 5 : Website (In React JS),"We will build a testpad website in React JS that can support drag and drop of potato plant leaf image. Upon dropping the image on website, it calls the FastA...",codebasics,Web Scraping,uldlsT98Bbs,https://youtu.be/uldlsT98Bbs
"Derivatives | Deep Learning Tutorial 9 (Tensorflow Tutorial, Keras &amp; Python)",Derivatives and partial derivatives are important concepts that we need to understand in order to gain knowledge on how neural network training works. We wil...,codebasics,Web Scraping,cT4pQT5Da0Q,https://youtu.be/cT4pQT5Da0Q
"What is Recurrent Neural Network (RNN)? Deep Learning Tutorial 33 (Tensorflow, Keras &amp; Python)",RNN or Recurrent Neural Network are also known as sequence models that are used mainly in the field of natural language processing as well as some other area...,codebasics,Web Scraping,Y2wfIKQyd1I,https://youtu.be/Y2wfIKQyd1I
"Applications of computer vision | Deep Learning Tutorial 22 (Tensorflow2.0, Keras &amp; Python)",Advancements in deep learning (especially invention of convolutional neural network or CNN or ConvNet) has made possible many amazing things in the field of ...,codebasics,Web Scraping,aDpnaxPAmtU,https://youtu.be/aDpnaxPAmtU
Deep learning project end to end | Potato Disease Classification - 8 : Mobile App in React Native,We will build a mobile application in react native that can be used by farmers to take a picture of potato plant and detect if plant has a disease.Github pag...,codebasics,Web Scraping,mSf0j8qkkFI,https://youtu.be/mSf0j8qkkFI
"What is a neuron? | Deep Learning Tutorial 3 (Tensorflow Tutorial, Keras &amp; Python)","In this video, we will see how you can think of a logistic regression as a neuron. We will use insurance dataset as a sample and build a logistic regression....",codebasics,Web Scraping,VhRtaziEWd4,https://youtu.be/VhRtaziEWd4
"Tensorboard Introduction | Deep Learning Tutorial 16 (Tensorflow2.0, Keras &amp; Python)",Often it becomes necessary to see what&#39;s going on inside your neural network. Tensorboard is a tool that comes with tensorflow and it allows you to visualize...,codebasics,Web Scraping,9SdLOcGnebU,https://youtu.be/9SdLOcGnebU
